model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_decision_time_ms,mean_decision_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms
qwen05,test_long_structured,2,0.2,cell1_x2,Cell-1 X²,importance_bound,True,0.7473068017335165,0.6135337597557476,21.0,7.0432159887571935,0.33539123755986633,6.442655999765454,0.306793142845974,15.613412760198116,0.7434958457237199,0.6453720593736285,0.23589386412459715,0.03959771378764082,0.09305933333333333,0.15653533333333336,0.01604876192730093,0.030150095178257792
qwen05,test_long_structured,2,0.2,cell1_x2,Cell-1 X²,error_oracle,True,0.7473068017335165,0.6135337597557476,21.0,7.097011988757194,0.33795295184558066,6.476307997216462,0.3083956189150696,12.555053323507309,0.5978596820717766,0.5978596820717766,0.26916342194772636,0.03959771378764082,0.09329880952380953,0.15885757142857143,0.016000000006031377,0.03019885709952735
qwen05,test_long_structured,2,0.2,shifted8_x2,Shifted-8 X²,importance_bound,True,0.7473068017335165,0.6135337597557476,21.0,7.612901984426319,0.362519142115539,7.147059506904244,0.3403361669954402,15.692752949893475,0.7472739499949274,0.6233225072778407,0.21909964643752233,0.03959771378764082,0.12755271428571432,0.15099080952380953,0.015139047632969522,0.029238856885404757
qwen05,test_long_structured,2,0.2,shifted8_x2,Shifted-8 X²,error_oracle,True,0.7473068017335165,0.6135337597557476,21.0,7.635736484225989,0.36360649924885663,7.166544506866574,0.34126402413650353,12.698802810162306,0.6047048957220146,0.6047048957220146,0.23339598997493724,0.03959771378764082,0.12826028571428574,0.1513660238095238,0.015183238135207227,0.02919923780219889
qwen05,test_long_structured,2,0.2,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.7473068017335165,0.6135337597557476,21.0,7.767702982784033,0.3698906182278111,7.284194503266454,0.3468664049174502,15.282885424792767,0.7277564487996555,0.6007054386926549,0.23589386412459715,0.03959771378764082,0.13846504761904763,0.14810671428571429,0.015132952481508219,0.02858819005390001
qwen05,test_long_structured,2,0.2,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.7473068017335165,0.6135337597557476,21.0,7.732039483904361,0.36819235637639813,7.280434501360476,0.3466873572076417,12.61891108378768,0.6009005277994133,0.6009005277994133,0.2263275375939849,0.03959771378764082,0.13805957142857142,0.14701659523809524,0.015073523901048122,0.02844495202104243
qwen05,test_long_structured,3,0.25,paper,Paper |x|,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,10.61377550285566,0.5054178810883647,9.974209000156582,0.47496233334078963,13.999969333410263,0.6666652063528696,0.5798849890540753,0.28361920426065157,0.03283657169058205,0.24661728571428573,0.1800272619047619,0.01560380948441363,0.030332952294321244
qwen05,test_long_structured,3,0.25,paper,Paper |x|,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,10.598072002622665,0.504670095362984,9.97114899984324,0.4748166190401543,11.913135387003422,0.5672921612858772,0.5672921612858772,0.27171444235588965,0.03283657169058205,0.24697647619047622,0.1789858095238095,0.01556571426668331,0.03030552369143277
qwen05,test_long_structured,3,0.25,cell1_x2,Cell-1 X²,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,7.083160987148883,0.337293380340423,6.490899496839105,0.3090904522304336,14.29109089821577,0.6805281380102748,0.6049835921619975,0.29536452738990326,0.03959771378764082,0.09322866666666665,0.15833061904761905,0.015987809481365294,0.030148571357130952
qwen05,test_long_structured,3,0.25,cell1_x2,Cell-1 X²,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,7.086808989845515,0.33746709475454834,6.500865996074139,0.30956504743210184,11.98811088502407,0.5708624230963844,0.5708624230963844,0.2762850205871822,0.03959771378764082,0.0937067619047619,0.15797442857142857,0.016092952429538634,0.03009523806117824
qwen05,test_long_structured,3,0.25,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,7.727805482776642,0.3679907372750782,7.193541004105925,0.34254957162409166,14.402370356023312,0.6858271598106339,0.6026705856701093,0.2834597654851414,0.03959771378764082,0.1297024761904762,0.15359492857142856,0.015321904704684261,0.029773714020848215
qwen05,test_long_structured,3,0.25,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,7.674455484556972,0.3654502611693796,7.211173003774285,0.34338919065591833,12.028401795774698,0.5727810378940332,0.5727810378940332,0.2619355307912638,0.03959771378764082,0.12826604761904764,0.15292821428571426,0.015366095295619355,0.029292190181357456
qwen05,test_long_structured,3,0.25,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,7.829119483256996,0.3728152134884284,7.319210001262487,0.34853380958392793,14.295944057404995,0.6807592408288092,0.578841857102123,0.28590449337629786,0.03959771378764082,0.13916785714285715,0.1495742142857143,0.015352380994175116,0.029123047278040867
qwen05,test_long_structured,3,0.25,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,7.768313485128998,0.36991968976804757,7.320396498008847,0.3485903094289927,11.734693359583616,0.5587949218849341,0.5587949218849341,0.25965024167561757,0.03959771378764082,0.1383654761904762,0.1480692619047619,0.015248762000174707,0.028638475884993797
qwen05,test_long_structured,4,0.3,paper,Paper |x|,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,10.58129950300199,0.5038714049048567,9.989246000547231,0.47567838097843956,13.302878178656101,0.6334703894598144,0.5519168505977307,0.31933348997493727,0.03283657169058205,0.24584352380952387,0.17920121428571428,0.015513904703160063,0.030476190415876205
qwen05,test_long_structured,4,0.3,paper,Paper |x|,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,10.535333502156677,0.5016825477217465,9.994974000867547,0.47595114289845464,11.10990535467863,0.5290431121275538,0.5290431121275538,0.31253076888650194,0.03283657169058205,0.24520795238095242,0.17789783333333334,0.015433142804318886,0.030307047512559616
qwen05,test_long_structured,4,0.3,cell1_x2,Cell-1 X²,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,7.114578987945199,0.3387894756164381,6.546954995966135,0.3117597617126731,13.349587850272655,0.6356946595367932,0.5656049640605315,0.33820041174364474,0.03959771378764082,0.09420333333333332,0.15870728571428572,0.01598933330249214,0.03029180947868591
qwen05,test_long_structured,4,0.3,cell1_x2,Cell-1 X²,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,7.0639624891258475,0.3363791661488499,6.530899994411168,0.31099523782910327,11.485438764095306,0.5469256554331098,0.5469256554331098,0.3048245614035087,0.03959771378764082,0.09440899999999999,0.1559907380952381,0.01614476190436449,0.030236952361606364
qwen05,test_long_structured,4,0.3,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,7.781448984970271,0.3705451897604891,7.276699501122952,0.3465095000534739,13.314023308455944,0.6340011099264735,0.5615682668119136,0.33575568385248833,0.03959771378764082,0.12770642857142858,0.157869619047619,0.015456000032524222,0.029915428321276343
qwen05,test_long_structured,4,0.3,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,7.726142983988642,0.3679115706661258,7.253452003828943,0.3454024763728068,11.483774650841951,0.5468464119448548,0.5468464119448548,0.29052821786609373,0.03959771378764082,0.1292826666666667,0.15428909523809523,0.015311238134191107,0.02943085683953188
qwen05,test_long_structured,4,0.3,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,7.794688984946967,0.37117566594985557,7.381983998290181,0.3515230475376277,13.299912445247173,0.6333291640593892,0.5354641151414918,0.33347039473684204,0.03959771378764082,0.1366026666666667,0.15026214285714284,0.015443809596555523,0.029269333041849525
qwen05,test_long_structured,4,0.3,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,7.795987984414994,0.37123752306738067,7.332350999389828,0.3491595713995156,11.512111004441977,0.5481957621162846,0.5481957621162846,0.27872974847833865,0.03959771378764082,0.138419380952381,0.14904061904761903,0.015297523877095563,0.02888228540264418
qwen05,test_long_structured,5,0.35,paper,Paper |x|,importance_bound,True,0.5891522339412144,0.51638483140795,21.0,10.639376503678978,0.5066369763656656,10.044622498928248,0.4783153570918214,12.284770958125591,0.5849890932440758,0.5111148095512319,0.36376376208378086,0.03283657169058205,0.24658057142857148,0.1811672619047619,0.015477333350905287,0.03057523799084477
qwen05,test_long_structured,5,0.35,paper,Paper |x|,error_oracle,True,0.5891522339412144,0.51638483140795,21.0,10.573690002849997,0.5035090477547618,10.01541249995321,0.4769244047596767,10.771061651408672,0.5129076976861272,0.5129076976861272,0.3259236260293591,0.03283657169058205,0.2457728571428572,0.17906190476190476,0.01548190472558844,0.030355809433829168
qwen05,test_long_structured,5,0.35,cell1_x2,Cell-1 X²,importance_bound,True,0.5891522339412144,0.51638483140795,21.0,7.316347992438079,0.3483975234494323,6.763997995148479,0.32209514262611805,11.956293731927872,0.5693473205679939,0.5232862623164519,0.4024010920157536,0.03959771378764082,0.09305119047619048,0.1678202380952381,0.016214857232712515,0.03171352385765026
qwen05,test_long_structured,5,0.35,cell1_x2,Cell-1 X²,error_oracle,True,0.5891522339412144,0.51638483140795,21.0,7.196035491016805,0.34266835671508594,6.665600994910477,0.3174095711862132,10.690733466297388,0.5090825460141614,0.5090825460141614,0.3524436090225563,0.03959771378764082,0.09345819047619049,0.16273549999999998,0.01609295238518994,0.030784000066064604
qwen05,test_long_structured,5,0.35,shifted8_x2,Shifted-8 X²,importance_bound,True,0.5891522339412144,0.51638483140795,21.0,8.162686983460187,0.3886993801647708,7.605708502380014,0.3621765953514292,11.875828579068184,0.5655156466222945,0.5121346372068816,0.40234514858575005,0.03959771378764082,0.13439704761904764,0.1669255714285714,0.015562666668778327,0.03221638066073253
qwen05,test_long_structured,5,0.35,shifted8_x2,Shifted-8 X²,error_oracle,True,0.5891522339412144,0.51638483140795,21.0,7.893912484719217,0.3759005945104389,7.520195509426892,0.3581045480679472,10.409269362688065,0.4956794934613364,0.4956794934613364,0.3523345193340493,0.03959771378764082,0.1287412380952381,0.16081726190476187,0.015167999968287446,0.03157638075451049
qwen05,test_long_structured,5,0.35,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.5891522339412144,0.51638483140795,21.0,8.25239448326856,0.3929711658699314,7.725170995299815,0.3678652854904674,11.715915821492672,0.5579007534044129,0.49257732631771695,0.4071842552810597,0.03959771378764082,0.14166342857142858,0.16477669047619045,0.015465142870587912,0.03146819016408347
qwen05,test_long_structured,5,0.35,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.5891522339412144,0.51638483140795,21.0,7.981734985531627,0.3800826183586489,7.534765499578833,0.35879835712280156,10.556307822465897,0.5026813248793284,0.5026813248793284,0.32863408521303256,0.03959771378764082,0.13953995238095243,0.1562805714285714,0.01524876195582601,0.029415618805658187
qwen05,test_long_structured,6,0.4,paper,Paper |x|,importance_bound,True,0.5287603381134215,0.4781070104134934,21.0,10.782369506797195,0.5134461669903426,10.235023999103129,0.4873820951953871,11.061406172811985,0.5267336272767612,0.46919356541530716,0.42158689133548155,0.03283657169058205,0.24410980952380953,0.18853483333333332,0.015864381034459325,0.03210057140815821
qwen05,test_long_structured,6,0.4,paper,Paper |x|,error_oracle,True,0.5287603381134215,0.4781070104134934,21.0,10.823371506194233,0.5153986431521064,10.244586499952137,0.48783745237867315,9.521899074316025,0.45342376544362023,0.45342376544362023,0.3792824695667741,0.03283657169058205,0.24733338095238105,0.1880363095238095,0.015648000031000035,0.031544380954333665
qwen05,test_long_structured,6,0.4,cell1_x2,Cell-1 X²,importance_bound,True,0.5287603381134215,0.4781070104134934,21.0,7.577795494366707,0.3608474044936527,6.9773149961237895,0.3322530950535138,10.752615049481392,0.5120292880705425,0.49568296034288195,0.4595864661654134,0.03959771378764082,0.09346533333333334,0.17945369047619045,0.01587809529155488,0.032452571604933006
qwen05,test_long_structured,6,0.4,cell1_x2,Cell-1 X²,error_oracle,True,0.5287603381134215,0.4781070104134934,21.0,7.482706991994739,0.35631938057117807,6.910991996994136,0.3290948569997208,9.741297859698534,0.4638713266523111,0.4638713266523111,0.40000951038310056,0.03959771378764082,0.09301733333333334,0.1755108095238095,0.01599542858699953,0.0321980953393947
qwen05,test_long_structured,6,0.4,shifted8_x2,Shifted-8 X²,importance_bound,True,0.5287603381134215,0.4781070104134934,21.0,8.701447983934699,0.4143546659016523,8.245433006067216,0.3926396669555817,9.547279953956604,0.4546323787598383,0.4488637978321917,0.5166627506265664,0.03959771378764082,0.13409838095238094,0.1893412380952381,0.015303618984208163,0.03601371408218424
qwen05,test_long_structured,6,0.4,shifted8_x2,Shifted-8 X²,error_oracle,True,0.5287603381134215,0.4781070104134934,21.0,8.243400484517812,0.3925428802151339,7.840342511615515,0.3733496434102626,9.595246285200119,0.45691648977143423,0.45691648977143423,0.4000067132116004,0.03959771378764082,0.13198342857142858,0.17247716666666663,0.015099428505414961,0.03338514268398278
qwen05,test_long_structured,6,0.4,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.5287603381134215,0.4781070104134934,21.0,8.968932482558728,0.427092022978987,8.319363492319047,0.396160166300907,9.575380109250546,0.4559704813928831,0.44977247489926714,0.51671869405657,0.03959771378764082,0.14513519047619047,0.19130083333333334,0.015402666692222813,0.035655618689599426
qwen05,test_long_structured,6,0.4,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.5287603381134215,0.4781070104134934,21.0,8.324069985499204,0.3963842850237716,7.944270502459704,0.378298595355224,9.566788330674171,0.45556134907972246,0.45556134907972246,0.3928879117436448,0.03959771378764082,0.1407484761904762,0.169184,0.015093333353953652,0.031760761691700785
qwen05,test_long_structured,7,0.45,paper,Paper |x|,importance_bound,True,0.4840606507800874,0.4509751851714793,21.0,11.111999004538477,0.5291428097399274,10.467299500121117,0.4984428333391008,9.996474213898182,0.47602258161419914,0.44233855824651463,0.47409539473684215,0.03283657169058205,0.24959342857142863,0.19690404761904765,0.015867428632364323,0.03394133322650473
qwen05,test_long_structured,7,0.45,paper,Paper |x|,error_oracle,True,0.4840606507800874,0.4509751851714793,21.0,10.88630500498724,0.5183954764279638,10.270035499129474,0.4890493094823559,9.42469584941864,0.44879504044850665,0.44879504044850665,0.3839593403150734,0.03283657169058205,0.24898500000000007,0.18919104761904762,0.015648000031000035,0.031734857087333944
qwen05,test_long_structured,7,0.45,cell1_x2,Cell-1 X²,importance_bound,True,0.4840606507800874,0.4509751851714793,21.0,7.768696997759939,0.36993795227428283,7.1637204930258385,0.34112954728694467,9.878694042563438,0.4704140020268304,0.46550777648753,0.5000307688865019,0.03959771378764082,0.09294104761904762,0.1876087142857143,0.01602133345745854,0.03376914312442139
qwen05,test_long_structured,7,0.45,cell1_x2,Cell-1 X²,error_oracle,True,0.4840606507800874,0.4509751851714793,21.0,7.671974992668688,0.36533214250803275,7.114029995209455,0.3387633331052121,9.218259904533625,0.438964757358744,0.438964757358744,0.4405601056211958,0.03959771378764082,0.09386895238095239,0.18266014285714285,0.015932952408634432,0.03327238107366217
qwen05,test_long_structured,7,0.45,shifted8_x2,Shifted-8 X²,importance_bound,True,0.4840606507800874,0.4509751851714793,21.0,8.701447983934699,0.4143546659016523,8.245433006067216,0.3926396669555817,9.547279953956604,0.4546323787598383,0.4488637978321917,0.5166627506265664,0.03959771378764082,0.13409838095238094,0.1893412380952381,0.015303618984208163,0.03601371408218424
qwen05,test_long_structured,7,0.45,shifted8_x2,Shifted-8 X²,error_oracle,True,0.4840606507800874,0.4509751851714793,21.0,8.43974898563075,0.4018928088395595,8.048544510398507,0.3832640243046908,9.178475335240364,0.43707025405906497,0.43707025405906497,0.43572099892588617,0.03959771378764082,0.132742,0.17989671428571427,0.015100952326541808,0.03455542843966251
qwen05,test_long_structured,7,0.45,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.4840606507800874,0.4509751851714793,21.0,8.968932482558728,0.427092022978987,8.319363492319047,0.396160166300907,9.575380109250546,0.4559704813928831,0.44977247489926714,0.51671869405657,0.03959771378764082,0.14513519047619047,0.19130083333333334,0.015402666692222813,0.035655618689599426
qwen05,test_long_structured,7,0.45,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.4840606507800874,0.4509751851714793,21.0,8.53990848357451,0.4066623087416434,8.140141000719009,0.3876257619390004,9.163856260478497,0.43637410764183315,0.43637410764183315,0.42860219745793043,0.03959771378764082,0.14241157142857144,0.17662864285714286,0.015094857130731802,0.03292952353755627
qwen05,test_long_structured,8,0.5,paper,Paper |x|,importance_bound,True,0.43296559367861065,0.4212203567758912,21.0,11.38373800637871,0.54208276220851,10.763089996104478,0.5125280950525942,8.943280406296253,0.42587049553791684,0.4212933802045882,0.531280768886502,0.03283657169058205,0.24902561904761908,0.20854819047619047,0.01582476199560216,0.03584761899851611
qwen05,test_long_structured,8,0.5,paper,Paper |x|,error_oracle,True,0.43296559367861065,0.4212203567758912,21.0,11.036255006459475,0.5255359526885465,10.51779899777615,0.5008475713226739,8.776402063667774,0.41792390779370353,0.41792390779370353,0.43859369405657,0.03283657169058205,0.24607385714285718,0.19729980952380954,0.015509333372825607,0.03381638095847193
qwen05,test_long_structured,8,0.5,cell1_x2,Cell-1 X²,importance_bound,True,0.43296559367861065,0.4212203567758912,21.0,7.919695994210602,0.3771283806766953,7.353651990281104,0.3501739042991002,9.090616270899773,0.43288648909046534,0.4408871924083325,0.5381897824919442,0.03959771378764082,0.09360657142857143,0.19306085714285715,0.015873523872523033,0.03498971444510273
qwen05,test_long_structured,8,0.5,cell1_x2,Cell-1 X²,error_oracle,True,0.43296559367861065,0.4212203567758912,21.0,7.86411599472928,0.37448171403472763,7.344500493635117,0.34973811874452937,8.798609908670187,0.4189814242223899,0.4189814242223899,0.49041129609738626,0.03959771378764082,0.09482076190476192,0.18965104761904764,0.015538285708143558,0.03487390501513363
qwen05,test_long_structured,8,0.5,shifted8_x2,Shifted-8 X²,importance_bound,True,0.43296559367861065,0.4212203567758912,21.0,9.06953398384392,0.4318825706592343,8.505855504659475,0.4050407383171179,8.612732350826263,0.41013011194410776,0.4238234845854874,0.566673379878267,0.03959771378764082,0.13490557142857143,0.20338919047619045,0.015491047608000836,0.03849904735883071
qwen05,test_long_structured,8,0.5,shifted8_x2,Shifted-8 X²,error_oracle,True,0.43296559367861065,0.4212203567758912,21.0,8.790412987154603,0.4185910946264097,8.277003005688787,0.3941430002708946,8.84073954820633,0.42098759753363474,0.42098759753363474,0.4832869002864303,0.03959771378764082,0.13370333333333337,0.1925372857142857,0.015213714202954608,0.037539047588195054
qwen05,test_long_structured,8,0.5,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.43296559367861065,0.4212203567758912,21.0,9.136872981722354,0.4350891896058264,8.603843493065952,0.4097068330031406,8.575681783258915,0.40836579920280547,0.42130034333760186,0.5666761770497672,0.03959771378764082,0.14412095238095238,0.19915261904761902,0.015341714290635865,0.03687619009897817
qwen05,test_long_structured,8,0.5,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.43296559367861065,0.4212203567758912,21.0,8.872899981660069,0.42251904674571755,8.357113997462331,0.39795780940296815,8.805764056742191,0.41932209794010433,0.41932209794010433,0.4762184479054779,0.03959771378764082,0.14359476190476195,0.18819819047619046,0.015167999968287443,0.03596038060883674
qwen05,test_long_structured,9,0.55,paper,Paper |x|,importance_bound,True,0.39167399065835135,0.3964096488697188,21.0,11.724937008241595,0.5583303337257902,11.11788599989271,0.5294231428520338,8.178112521767616,0.38943392960798173,0.386002063451867,0.5741278419262442,0.03283657169058205,0.24627138095238096,0.22529019047619045,0.01627885723220445,0.037653333374432094
qwen05,test_long_structured,9,0.55,paper,Paper |x|,error_oracle,True,0.39167399065835135,0.3964096488697188,21.0,11.546549503704071,0.5498356906525748,10.817984500838817,0.5151421190875627,8.302591696381569,0.39536150935150327,0.39536150935150327,0.4814295784103115,0.03283657169058205,0.25119480952380957,0.21404964285714287,0.015800380990618687,0.035954285590421534
qwen05,test_long_structured,9,0.55,cell1_x2,Cell-1 X²,importance_bound,True,0.39167399065835135,0.3964096488697188,21.0,8.567704487359762,0.4079859279695125,7.845213493587254,0.37358159493272636,8.139808304607868,0.38760991926704136,0.39565889644880026,0.5903234649122805,0.03959771378764082,0.09815699999999998,0.21338854761904763,0.016062476184396466,0.04078019037842745
qwen05,test_long_structured,9,0.55,cell1_x2,Cell-1 X²,error_oracle,True,0.39167399065835135,0.3964096488697188,21.0,8.287813488213537,0.3946577851530256,7.675686499004005,0.3655088809049526,8.318440731614828,0.3961162253149918,0.3961162253149918,0.5093845103831004,0.03959771378764082,0.09498485714285712,0.20609273809523812,0.0158780951585088,0.038104380968780674
qwen05,test_long_structured,9,0.55,shifted8_x2,Shifted-8 X²,importance_bound,True,0.39167399065835135,0.3964096488697188,21.0,9.293664487926781,0.4425554518060372,8.798264498221457,0.41896497610578365,8.118352264165878,0.386588203055518,0.4045511167163828,0.5927150465449336,0.03959771378764082,0.13289561904761907,0.21382745238095233,0.01540114282674727,0.04083352376307754
